10101010	11000000
11010110	00010001
11111001	00111011
00011110	11110110
10100010	10110000
11111011	00000100
11111010	01101110
11101010	10001001
01101110	10100101
11110100	00101010
00111001	11011101
11101100	11101111
11011101	00001001
10011111	11011010
01111011	00111100
01001111	11111001
11001100	00000110
11010101	10001010
01110100	01100100
01110000	00111100
00111100	00010000
11100000	10111011
00100100	00001101
00010010	11111000
11110100	00100110
10111101	00101100
01111011	01100100
11100111	10101101
01111110	10001101
00001110	01001000
00011001	01001011
11000000	11000011
01100001	10010000
01010111	01001000
01100001	01001011
00111100	01100111
01010011	11100100
00110110	00100001
01111101	01000000
01000010	01111011
10111011	11101101
10110101	11010011
11000100	11100101
00101011	00111010
11001010	01000100
11001101	01000100
10101101	11001010
11100000	10000010
11001001	01000111
10110011	01011000
10111101	11000001
00101010	10111111
10011010	00000010
10111001	11000110
01110011	01101001
00100101	00110101
10000111	01100100
11011111	00000010
00100000	10110110
01110010	11110011
11100010	10000010
11000000	01010000
00110110	11010001
11101101	00011110
00001011	11111010
01101001	11110101
11000111	10000011
11100011	01011011
00001101	11001100
01010010	00001101
01101011	10111100
10111111	11001000
01111000	00001111
11110001	00100111
11101010	10000101
01111000	11010011
01001000	10100010
00001110	10000101
11111000	11101011
00110000	10101110
00010101	10001110
10101100	01001011
11110110	10101011
11111100	01100100
01001001	11101000
11010010	00100000
11001101	01100011
01111011	11001111
00111110	10001001
10100111	10110100
00001001	10100110
00000100	11100010
00011110	01101111
01100110	10111110
11100110	01100101
00000001	00001011
10000100	10011000
01101010	11010101
01101011	10111000
11110011	10000100
01100010	01001001
11000111	00100000
11100000	01110110
10000110	11110000
11000010	00010011
11111010	10100100
10100101	01000000
11010111	10110111
00100001	11000101
10000101	11101011
10010000	11011111
11110011	11101111
00010101	00010111
11011101	10000011
11010010	00001000
10000110	11111100
11100010	00110011
01101001	11111110
00100011	01111101
11011001	00100010
00010010	00111010
00000010	00100011
10101001	11100111
00111101	00001111
10000001	10011111
01111001	10001101
01001111	10000101
10100100	11110101
10110000	01111001
00000101	01100111
11011000	01000111
10100101	01100000
10101110	01101011
11000010	11101111
11111010	00100001
00001100	11001011
10111101	11100011
11000010	00000111
00111001	01001010
00100101	00000000
00001010	00110000
10000000	10011100
00101000	10001100
01101001	00000000
11010011	10110110
10011011	01001010
10011101	10101010
10001111	10001000
01011000	10001101
10111001	00001000
11011101	00011100
10100001	01101111
00101111	01001000
11010101	01110110
00110111	00010111
01100010	11110101
10110011	01101111
00011001	11101101
10100001	11110100
11110011	01111111
11111010	01000011
00110011	01101011
00100000	00100001
01111100	11011001
11110001	01101011
10010010	10100100
10101101	11010011
11100100	11110111
00001100	10010011
01001001	01111101
10011011	01110010
11110110	11111111
11000010	00000000
00010110	10011101
01111100	10000010
11101000	11110111
11000111	00101010
10101011	01001001
01000010	00000100
10010001	11111101
01110000	10110011
11001000	00100001
01010101	11101000
11111010	10110010
10111011	10010000
10001010	10100101
00011010	11111100
10111000	00001100
00111011	10010100
01101101	11110010
10110010	00001010
00111001	10101111
11001110	00101100
10111001	11110101
01000111	00110111
10110101	00010000
01100000	11110110
11010011	11100101
01101001	01101011
11001000	01100001
